id,name,lat,lng,price,size,parking,furnished,images
1,105 Comstock Avenue apt5,43.04650863,-76.13042247,1275,null,TRUE,TRUE,images/1.png
2,105 Comstock Avenue apt8,43.04650863,-76.13042247,1250,null,TRUE,TRUE,images/2.png
3,107 Comstock Avenue apt1,43.04615582,-76.13037812,1350,null,TRUE,TRUE,images/3.png
4,107 Comstock Avenue apt2,43.04615582,-76.13037812,1375,null,TRUE,TRUE,images/4.png
5,107 Comstock Avenue apt3,43.04615582,-76.13037812,1375,null,TRUE,TRUE,images/5.png
6,107 Comstock Avenue apt4,43.04615582,-76.13037812,1350,null,TRUE,TRUE,images/6.png
7,113 Comstock Avenue apt1,43.04569056,-76.13032515,1075,null,TRUE,TRUE,images/7.png
8,113 Comstock Avenue apt2,43.04569056,-76.13032515,1050,null,TRUE,TRUE,images/8.png
9,113 Comstock Avenue apt3,43.04569056,-76.13032515,1050,null,TRUE,TRUE,images/9.png
10,113 Comstock Avenue apt4,43.04569056,-76.13032515,1075,null,TRUE,TRUE,images/10.png
11,113 Comstock Avenue apt5,43.04569056,-76.13032515,1050,null,TRUE,TRUE,images/11.png
12,113 Comstock Avenue apt6,43.04569056,-76.13032515,1125,null,TRUE,TRUE,images/12.png
13,113 Comstock Avenue apt7,43.04569056,-76.13032515,1000,null,TRUE,TRUE,images/13.png
14,113 Comstock Avenue apt8,43.04569056,-76.13032515,1150,null,TRUE,TRUE,images/14.png
15,113 Comstock Avenue apt9,43.04569056,-76.13032515,1375,null,TRUE,TRUE,images/15.png
16,113 Comstock Avenue apt10,43.04569056,-76.13032515,1225,null,TRUE,TRUE,images/16.png
17,115 Comstock Avenue apt1,43.0455406,-76.13026977,1675,null,TRUE,TRUE,images/17.png
18,115 Comstock Avenue apt2,43.0455406,-76.13026977,1175,null,TRUE,TRUE,images/18.png
19,115 Comstock Avenue apt3,43.0455406,-76.13026977,1300,null,TRUE,TRUE,images/19.png
20,115 Comstock Avenue apt4,43.0455406,-76.13026977,1200,null,TRUE,TRUE,images/20.png
21,115 Comstock Avenue apt5,43.0455406,-76.13026977,1550,null,TRUE,TRUE,images/21.png
22,115 Comstock Avenue apt7,43.0455406,-76.13026977,1275,null,TRUE,TRUE,images/22.png
23,115 Comstock Avenue apt8,43.0455406,-76.13026977,1175,null,TRUE,TRUE,images/23.png
24,201 Comstock Ave apt3R,43.04514992,-76.13021395,1200,null,FALSE,TRUE,images/24.png
25,201 Comstock Ave apt3F,43.04514992,-76.13021395,1200,null,FALSE,TRUE,images/25.png
26,137 Comstock Place NYC STYLE LOFT,43.04647175,-76.12924704,1325,null,TRUE,TRUE,images/26.png
27,137 Comstock Place Rear Apartment,43.04647175,-76.12924704,1300,null,TRUE,TRUE,images/27.png
28,1316 East Genesee Street apt2,43.04672656,-76.13010322,1200,null,FALSE,TRUE,images/28.png
29,1316 East Genesee Street apt4,43.04672656,-76.13010322,1250,null,FALSE,TRUE,images/29.png
30,1505 East Genesee Street apt101,43.04731409,-76.12734793,1450,600,FALSE,TRUE,images/30.png
31,1505 East Genesee Street apt102,43.04731409,-76.12734793,1450,551,FALSE,TRUE,images/31.png
32,1505 East Genesee Street apt103,43.04731409,-76.12734793,1325,431,FALSE,TRUE,images/32.png
33,1505 East Genesee Street apt104,43.04731409,-76.12734793,1500,701,FALSE,TRUE,images/33.png
34,1505 East Genesee Street apt105,43.04731409,-76.12734793,1450,555,FALSE,TRUE,images/34.png
35,1505 East Genesee Street apt201,43.04731409,-76.12734793,1550,582,FALSE,TRUE,images/35.png
36,1505 East Genesee Street apt202,43.04731409,-76.12734793,1500,570,FALSE,TRUE,images/36.png
37,1505 East Genesee Street apt203,43.04731409,-76.12734793,1375,444,FALSE,TRUE,images/37.png
38,1505 East Genesee Street apt204,43.04731409,-76.12734793,1375,516,FALSE,TRUE,images/38.png
39,1505 East Genesee Street apt205,43.04731409,-76.12734793,1375,420,FALSE,TRUE,images/39.png
40,1505 East Genesee Street apt206,43.04731409,-76.12734793,1550,583,FALSE,TRUE,images/40.png
41,1505 East Genesee Street apt207,43.04731409,-76.12734793,1525,591,FALSE,TRUE,images/41.png
42,1505 East Genesee Street apt208,43.04731409,-76.12734793,1475,613,FALSE,TRUE,images/42.png
43,1505 East Genesee Street apt209,43.04731409,-76.12734793,1425,601,FALSE,TRUE,images/43.png
44,1505 East Genesee Street apt301,43.04731409,-76.12734793,1525,582,FALSE,TRUE,images/44.png
45,1505 East Genesee Street apt302,43.04731409,-76.12734793,1525,570,FALSE,TRUE,images/45.png
46,1505 East Genesee Street apt303,43.04731409,-76.12734793,1275,444,FALSE,TRUE,images/46.png
47,1505 East Genesee Street apt304,43.04731409,-76.12734793,1325,516,FALSE,TRUE,images/47.png
48,1505 East Genesee Street apt305,43.04731409,-76.12734793,1325,420,FALSE,TRUE,images/48.png
49,1505 East Genesee Street apt306,43.04731409,-76.12734793,1525,583,FALSE,TRUE,images/49.png
50,1505 East Genesee Street apt307,43.04731409,-76.12734793,1525,591,FALSE,TRUE,images/50.png
51,1505 East Genesee Street apt308,43.04731409,-76.12734793,1475,613,FALSE,TRUE,images/51.png
52,1505 East Genesee Street apt309,43.04731409,-76.12734793,1275,466,FALSE,TRUE,images/52.png
53,1505 East Genesee Street apt310,43.04731409,-76.12734793,1450,601,FALSE,TRUE,images/53.png
54,1505 East Genesee Street apt401,43.04731409,-76.12734793,1625,582,FALSE,TRUE,images/54.png
55,1505 East Genesee Street apt402,43.04731409,-76.12734793,1575,570,FALSE,TRUE,images/55.png
56,1505 East Genesee Street apt403,43.04731409,-76.12734793,1425,444,FALSE,TRUE,images/56.png
57,1505 East Genesee Street apt404,43.04731409,-76.12734793,1425,516,FALSE,TRUE,images/57.png
58,1505 East Genesee Street apt405,43.04731409,-76.12734793,1375,420,FALSE,TRUE,images/58.png
59,1505 East Genesee Street apt406,43.04731409,-76.12734793,1575,583,FALSE,TRUE,images/59.png
60,1505 East Genesee Street apt407,43.04731409,-76.12734793,1625,591,FALSE,TRUE,images/60.png
61,1505 East Genesee Street apt408,43.04731409,-76.12734793,1550,613,FALSE,TRUE,images/61.png
62,1505 East Genesee Street apt409,43.04731409,-76.12734793,1450,466,FALSE,TRUE,images/62.png
63,1505 East Genesee Street apt410,43.04731409,-76.12734793,1575,601,FALSE,TRUE,images/63.png
64,1505 East Genesee Street apt501,43.04731409,-76.12734793,1750,582,FALSE,TRUE,images/64.png
65,1505 East Genesee Street apt502,43.04731409,-76.12734793,1600,570,FALSE,TRUE,images/65.png
66,1505 East Genesee Street apt503,43.04731409,-76.12734793,1475,444,FALSE,TRUE,images/66.png
67,1505 East Genesee Street apt504,43.04731409,-76.12734793,1400,516,FALSE,TRUE,images/67.png
68,1505 East Genesee Street apt505,43.04731409,-76.12734793,1425,420,FALSE,TRUE,images/68.png
69,1505 East Genesee Street apt506,43.04731409,-76.12734793,1625,583,FALSE,TRUE,images/69.png
70,1505 East Genesee Street apt507,43.04731409,-76.12734793,1675,591,FALSE,TRUE,images/70.png
71,1505 East Genesee Street apt508,43.04731409,-76.12734793,1525,613,FALSE,TRUE,images/71.png
72,1505 East Genesee Street apt509,43.04731409,-76.12734793,1475,466,FALSE,TRUE,images/72.png
73,1505 East Genesee Street apt510,43.04731409,-76.12734793,1575,601,FALSE,TRUE,images/73.png
74,1929 East Genesee Street apt1,43.04588441,-76.12041918,1400,null,TRUE,TRUE,images/74.png
75,1929 East Genesee Street apt2,43.04588441,-76.12041918,1275,null,TRUE,TRUE,images/75.png
76,1929 East Genesee Street apt3,43.04588441,-76.12041918,1300,null,TRUE,TRUE,images/76.png
77,1929 East Genesee Street apt5,43.04588441,-76.12041918,1250,null,TRUE,TRUE,images/77.png
78,1929 East Genesee Street apt6,43.04588441,-76.12041918,1275,null,TRUE,TRUE,images/78.png
79,2005 East Genesee Street apt1,43.04587316,-76.11940542,1200,null,TRUE,TRUE,images/79.png
80,2005 East Genesee Street apt2,43.04587316,-76.11940542,1200,null,TRUE,TRUE,images/80.png
81,2005 East Genesee Street apt3,43.04587316,-76.11940542,1450,null,TRUE,TRUE,images/81.png
82,2005 East Genesee Street apt4,43.04587316,-76.11940542,1325,null,TRUE,TRUE,images/82.png
83,2005 East Genesee Street apt5,43.04587316,-76.11940542,1325,null,TRUE,TRUE,images/83.png
84,2005 East Genesee Street apt6,43.04587316,-76.11940542,1350,null,TRUE,TRUE,images/84.png
85,315 South Beech Street apt1,43.04763959,-76.12737587,1000,null,TRUE,TRUE,images/85.png
86,315 South Beech Street apt2,43.04763959,-76.12737587,1500,null,TRUE,TRUE,images/86.png
